Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
"Gerade junge Menschen haben Bedenken , was die Impfung betrifft .","[START] Gerade junge Menschen [END] haben [START] Bedenken [END] , [START] was [END] [START] die Impfung [END] betrifft .","['B', 'I', 'I', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'O']","[1, 0, 0, 0]",,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
"Gilt das nur für ein Jahr , oder denken Sie dabei an eine mehrjährige Aufhebung der Schonzeit ?","Gilt [START] das [END] nur für [START] ein Jahr [END] , oder denken [START] Sie [END] dabei an [START] eine mehrjährige Aufhebung [END] [START] der Schonzeit [END] ?","['O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Ich frage : Wie klein will sich die SPD noch machen ?,[START] Ich [END] frage : Wie klein will [START] sich [END] [START] die SPD [END] noch machen ?,"['B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O']","[1, 0, 1]",,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
"Verzögerungen im Stromnetzausbau , die insbesondere von Süddeutschland ausgehen , haben auch negative Auswirkungen auf Süddeutschland .","[START] Verzögerungen [END] im [START] Stromnetzausbau [END] , [START] die [END] insbesondere von [START] Süddeutschland [END] ausgehen , haben [START] auch negative Auswirkungen [END] auf [START] Süddeutschland [END] .","['B', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Frau Präsidentin !,[START] Frau Präsidentin [END] !,"['B', 'I', 'O']",[1],,"[1, 1, 0]",
"Aber nicht nur diese lebenswichtigen Zukunftsinvestitionen sparen sich Bund , Länder und Gemeinden – den Gemeinden wird es mehr aufgezwungen – , Bundes- und Landesregierung fahren auch die bestehende öffentliche Infrastruktur auf Verschleiß und sparen sich sogar die Erhaltungsinvestitionen .","Aber [START] nicht nur diese lebenswichtigen Zukunftsinvestitionen [END] sparen [START] sich [END] [START] Bund [END] , [START] Länder [END] und [START] Gemeinden [END] – [START] den Gemeinden [END] wird [START] es [END] mehr aufgezwungen – , [START] Bundes- und Landesregierung [END] fahren [START] auch die bestehende öffentliche Infrastruktur [END] auf [START] Verschleiß [END] und sparen [START] sich [END] [START] sogar die Erhaltungsinvestitionen [END] .","['O', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'B', 'I', 'I', 'O']","[0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Das sind Ihre Freunde !,[START] Das [END] sind [START] Ihre Freunde [END] !,"['B', 'O', 'B', 'I', 'O']","[0, 1]",,"[0, 0, 1, 1, 0]",
Sie brauchen da keine zusätzlichen Risiken und Nebenwirkungen .,[START] Sie [END] brauchen da [START] keine zusätzlichen Risiken [END] und [START] Nebenwirkungen [END] .,"['B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
Halten wir die nächsten 20 Jahre die Schnauze darüber .,Halten [START] wir [END] [START] die nächsten 20 Jahre [END] [START] die Schnauze [END] darüber .,"['O', 'B', 'B', 'I', 'I', 'I', 'B', 'I', 'O', 'O']","[1, 0, 0]",,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
Die Leute da draußen haben nämlich vertrauensvoll gewartet .,[START] Die Leute [END] da draußen haben nämlich vertrauensvoll gewartet .,"['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[1],,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",
"Wir haben dort im Verhältnis zur Gesamtbevölkerung eine eher unterdurchschnittliche Bereitschaft , sich impfen zu lassen .","[START] Wir [END] haben dort im [START] Verhältnis [END] zur [START] Gesamtbevölkerung [END] [START] eine eher unterdurchschnittliche Bereitschaft [END] , [START] sich [END] impfen zu lassen .","['B', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O']","[1, 0, 0, 0, 0]",,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Schon im Juli dieses Jahres gab es ein Foto von einer Steinschleuder mit dem Hashtag „ Neuerwerb !,Schon im [START] Juli [END] [START] dieses Jahres [END] gab es [START] ein Foto [END] von [START] einer Steinschleuder [END] mit [START] dem Hashtag „ Neuerwerb [END] !,"['O', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Meine sehr verehrten Damen und Herren !,[START] Meine sehr verehrten Damen [END] und [START] Herren [END] !,"['B', 'I', 'I', 'I', 'O', 'B', 'O']","[1, 1]",,"[1, 1, 1, 1, 0, 1, 0]",
"20 Prozent sind immunisiert , das wären 3 Millionen Menschen .","[START] 20 Prozent [END] sind immunisiert , [START] das [END] wären [START] 3 Millionen Menschen [END] .","['B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O']","[0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",
Auch da : Vielleicht sollte die FDP ihre Position noch mal überdenken .,Auch da : Vielleicht sollte [START] die FDP [END] [START] ihre Position [END] noch mal überdenken .,"['O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'O']","[1, 0]",,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
"Meine Damen und Herren , darum geht es doch ; es geht hier nicht um irgendeinen Kompromiss , es geht um Familie und Kinder .","[START] Meine Damen [END] und [START] Herren [END] , darum geht es doch ; es geht hier [START] nicht um irgendeinen Kompromiss [END] , es geht um [START] Familie [END] und [START] Kinder [END] .","['B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O']","[1, 1, 0, 1, 1]",,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",
In der Tat – es ist schon angesprochen worden – gibt es da in puncto Qualität und Rechtssicherheit durchaus noch Luft nach oben .,In [START] der Tat [END] – [START] es [END] ist schon angesprochen worden – gibt es da in [START] puncto Qualität [END] und [START] Rechtssicherheit [END] durchaus noch [START] Luft [END] nach oben .,"['O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Sehr geehrte Kollegen !,[START] Sehr geehrte Kollegen [END] !,"['B', 'I', 'I', 'O']",[1],,"[1, 1, 1, 0]",
"Das , was man dort erleben muss , entzieht unserer Gesellschaft den sozialen Zusammenhalt und ist deshalb nicht hinnehmbar – jedenfalls nicht für uns Linke .","[START] Das [END] , [START] was [END] [START] man [END] dort erleben muss , entzieht [START] unserer Gesellschaft [END] [START] den sozialen Zusammenhalt [END] und ist deshalb nicht hinnehmbar – jedenfalls nicht für [START] uns [END] Linke .","['B', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']","[0, 0, 0, 1, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wer von zu Hause arbeiten will , merkt das , wenn zum Beispiel eine Videokonferenz mit Arbeitskollegen nicht funktioniert .","[START] Wer [END] von zu [START] Hause [END] arbeiten will , merkt [START] das [END] , wenn zum [START] Beispiel [END] [START] eine Videokonferenz [END] mit [START] Arbeitskollegen [END] nicht funktioniert .","['B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",
"Sie sind genau dort in Syrien , wo gerade die Türkei mit deutschen Panzern angreift .","[START] Sie [END] sind genau dort in [START] Syrien [END] , wo gerade [START] die Türkei [END] mit [START] deutschen Panzern [END] angreift .","['B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O']","[0, 0, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",
"Die irakische Regierung ist mittlerweile in großer Sorge , weil erste IS-Kämpfer bereits in den Irak zurückgekehrt sind .","[START] Die irakische Regierung [END] ist mittlerweile in [START] großer Sorge [END] , weil [START] erste IS-Kämpfer [END] bereits in [START] den Irak [END] zurückgekehrt sind .","['B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[1, 0, 1, 0]",,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
Aber zurück zur Bundesebene .,Aber zurück zur [START] Bundesebene [END] .,"['O', 'O', 'O', 'B', 'O']",[0],,"[0, 0, 0, 0, 0]",
"Sie wissen genau , dass der zweite Schritt – können wir uns darauf einigen ?","[START] Sie [END] wissen genau , dass der zweite Schritt – können [START] wir [END] [START] uns [END] darauf einigen ?","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O']","[0, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",
"Das in Summe – das Risiko , die hohe Chance , schon natürlich immunisiert zu sein – senkt die Impfbereitschaft bei jungen Menschen .","Das in [START] Summe [END] – das Risiko , [START] die hohe Chance [END] , schon natürlich immunisiert zu sein – senkt [START] die Impfbereitschaft [END] bei [START] jungen Menschen [END] .","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
"Auf Twitter bekannte sich die sogenannte Identitäre Bewegung dazu , eine Bewegung , die der AfD-Bundestagsabgeordnete Petr Bystron für eine – Zitat – „ tolle Organisation “ und eine „ Vorfeldorganisation der AfD “ hält .","Auf [START] Twitter [END] bekannte [START] sich [END] [START] die sogenannte Identitäre Bewegung [END] dazu , [START] eine Bewegung [END] , [START] die [END] [START] der AfD-Bundestagsabgeordnete Petr Bystron [END] für [START] eine – Zitat [END] – [START] „ tolle Organisation [END] “ und [START] eine „ Vorfeldorganisation [END] [START] der AfD [END] “ hält .","['O', 'B', 'O', 'B', 'B', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'O', 'O']","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]",
"Daran scheitert es ja bisher sowohl durch die Machthaber in der arabischen Welt – Herr Radwan , erlauben Sie eine Zwischenfrage ?","Daran scheitert [START] es [END] ja bisher sowohl durch [START] die Machthaber [END] in [START] der arabischen Welt [END] – Herr [START] Radwan [END] , erlauben [START] Sie [END] [START] eine Zwischenfrage [END] ?","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'O', 'O', 'B', 'B', 'I', 'O']","[0, 1, 0, 1, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
Das ist durchaus sinnvoll nach dem Chaos der letzten Wochen .,[START] Das [END] ist durchaus sinnvoll nach [START] dem Chaos [END] [START] der letzten Wochen [END] .,"['B', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Gerade das Auto bietet vielen Bürgern auf ihren Fahrstrecken einen unübertroffenen Schutzraum .,[START] Gerade das Auto [END] bietet [START] vielen Bürgern [END] auf [START] ihren Fahrstrecken [END] [START] einen unübertroffenen Schutzraum [END] .,"['B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'I', 'O']","[0, 1, 0, 0]",,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
"Wir müssen zurück zur Herrschaft des Rechts , meine Damen und Herren .","[START] Wir [END] müssen zurück zur [START] Herrschaft [END] [START] des Rechts [END] , [START] meine Damen [END] und [START] Herren [END] .","['B', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'O']","[1, 0, 0, 1, 1]",,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",
"Dort waren zwei Jungs aus Syrien , acht Jahre und sechs Jahre alt .","Dort waren [START] zwei Jungs [END] aus [START] Syrien [END] , acht Jahre und sechs Jahre alt .","['O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 0]",,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Auf der anderen Seite haben wir den Antrag der Liberalen .,Auf [START] der anderen Seite [END] haben [START] wir [END] [START] den Antrag [END] [START] der Liberalen [END] .,"['O', 'B', 'I', 'I', 'O', 'B', 'B', 'I', 'B', 'I', 'O']","[0, 1, 0, 1]",,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",
"Er ist ein Faustschlag ins Gesicht derer und dazu geeignet , jeglicher Diskussion , Argumentation und Kommunikation ein Ende zu setzen , und das ist das Letzte , was wir im Bereich der Kernenergie und im Bereich der Sicherheit brauchen .","[START] Er [END] ist [START] ein Faustschlag [END] ins [START] Gesicht [END] [START] derer [END] und dazu geeignet , [START] jeglicher Diskussion [END] , [START] Argumentation [END] und [START] Kommunikation [END] [START] ein Ende [END] zu setzen , und [START] das [END] ist [START] das Letzte [END] , [START] was [END] [START] wir [END] im [START] Bereich [END] [START] der Kernenergie [END] und im [START] Bereich [END] [START] der Sicherheit [END] brauchen .","['B', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"“ , und es ist doch nicht so .","“ , und [START] es [END] ist doch nicht so .","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']",[0],,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
Vielen Dank .,Vielen Dank .,"['O', 'O', 'O']",[],,"[0, 0, 0]",
"Dieses Datum , dem Sturm auf die Bastille vergleichbar , hätte eigentlich unser Feiertag sein müssen – Matthias Platzeck hat es gesagt – , wenn es historisch nicht anderweitig belastet wäre .","[START] Dieses Datum [END] , [START] dem Sturm [END] auf [START] die Bastille [END] vergleichbar , hätte eigentlich [START] unser Feiertag [END] sein müssen – [START] Matthias Platzeck [END] hat [START] es [END] gesagt – , wenn [START] es [END] historisch nicht anderweitig belastet wäre .","['B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 1, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Denn wenn man Energie produziert , dann braucht man keine Leitungen , die die Energie dahin bringen , wo keine Energie produziert wird .","Denn wenn [START] man [END] [START] Energie [END] produziert , dann braucht [START] man [END] [START] keine Leitungen [END] , [START] die [END] [START] die Energie [END] dahin bringen , wo [START] keine Energie [END] produziert wird .","['O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[1, 0, 1, 0, 0, 0, 0]",,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Dahinter steckte eine geschmacklose Aktion , die sich nicht nur gegen mich , sondern auch gegen die Büros von CDU , SPD und Grünen richtete .","Dahinter steckte [START] eine geschmacklose Aktion [END] , [START] die [END] [START] sich [END] nicht nur gegen [START] mich [END] , sondern auch gegen [START] die Büros [END] von [START] CDU [END] , [START] SPD [END] und [START] Grünen [END] richtete .","['O', 'O', 'B', 'I', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 1, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",
"Was aber nicht geschehen darf , ist , dass der Zugang zu dieser ansonsten sehr guten und auch sehr prominenten Regelung erschwert wird .","[START] Was [END] aber nicht geschehen darf , ist , dass [START] der Zugang [END] zu [START] dieser ansonsten sehr guten und auch sehr prominenten Regelung [END] erschwert wird .","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"All Ihre vollmundigen , realitätsfernen Versprechungen wie 1,5 Millionen neue Wohnungen , Mietpreisbremse , Dachgeschossausbau sind aber nichts als Taschenspielertricks , um vom eigentlichen Thema abzulenken , dem weißen Elefanten , der mitten im Raum steht und über den niemand sprechen darf , nämlich die Bevölkerungsentwicklung .","[START] All Ihre vollmundigen , realitätsfernen Versprechungen [END] wie 1,5 Millionen [START] neue Wohnungen [END] , [START] Mietpreisbremse [END] , [START] Dachgeschossausbau [END] sind aber [START] nichts [END] als [START] Taschenspielertricks [END] , um vom [START] eigentlichen Thema [END] abzulenken , [START] dem weißen Elefanten [END] , [START] der [END] mitten im [START] Raum [END] steht und über [START] den [END] [START] niemand [END] sprechen darf , [START] nämlich die Bevölkerungsentwicklung [END] .","['B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
"Es wäre doch unmenschlich , wenn man nicht sagen würde : Selbstverständlich müssen die Eltern dieser beiden Jungs , die hier draußen standen , die schon Deutsch gelernt haben , die alles daransetzen , hier anzukommen , die alles daransetzen , hier in Frieden zu leben , nachkommen .","[START] Es [END] wäre doch unmenschlich , wenn [START] man [END] nicht sagen würde : Selbstverständlich müssen [START] die Eltern [END] [START] dieser beiden Jungs [END] , [START] die [END] hier draußen standen , [START] die [END] schon [START] Deutsch [END] gelernt haben , [START] die [END] [START] alles [END] daransetzen , hier anzukommen , [START] die [END] [START] alles [END] daransetzen , hier in [START] Frieden [END] zu leben , nachkommen .","['B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Vielen Dank .,Vielen Dank .,"['O', 'O', 'O']",[],,"[0, 0, 0]",
Zur Stärkung der Wirtschaft ist dabei jedes Mittel recht .,Zur [START] Stärkung [END] [START] der Wirtschaft [END] ist dabei [START] jedes Mittel [END] [START] recht [END] .,"['O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'B', 'O']","[0, 1, 0, 0]",,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
"Es fehlt an der Infrastruktur in den allgemeinbildenden Schulen und in den Berufsschulen , aber es fehlt auch an der individuellen Ausrüstung der Kinder und Jugendlichen .","Es fehlt an [START] der Infrastruktur [END] in [START] den allgemeinbildenden Schulen [END] und in [START] den Berufsschulen [END] , aber es fehlt auch an [START] der individuellen Ausrüstung [END] [START] der Kinder [END] und [START] Jugendlichen [END] .","['O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",
"Aber wichtiger noch scheint mir ein anderes : Die Bürger der DDR sind damals unter Einsatz ihres Lebens nicht nur für die Einigkeit auf die Straße gegangen , sondern auch für das Recht und die Freiheit .","Aber wichtiger noch scheint [START] mir [END] ein anderes : [START] Die Bürger [END] [START] der DDR [END] sind damals unter [START] Einsatz [END] [START] ihres Lebens [END] nicht nur für [START] die Einigkeit [END] auf [START] die Straße [END] gegangen , sondern auch für [START] das Recht [END] und [START] die Freiheit [END] .","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","[0, 1, 1, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
